id,name,column,handle,url,verdict,detail,action
400041,"Adams, Michael",chessgames,10900,https://www.chessgames.com/perl/chessplayer?pid=10900,alive,200,no action
400041,"Adams, Michael",x,MickeyAdamsGM,https://x.com/MickeyAdamsGM,alive,200,no action
400041,"Adams, Michael",website,https://michaeladamschess.co.uk,https://michaeladamschess.co.uk,alive,200,no action
5018471,"Adhiban, B.",chesscom,fireheart92,https://www.chess.com/member/fireheart92,alive,200,no action
5018471,"Adhiban, B.",chesscomPlayer,baskaran-adhiban,https://www.chess.com/players/baskaran-adhiban,alive,200,no action
5018471,"Adhiban, B.",chessgames,117280,https://www.chessgames.com/perl/chessplayer?pid=117280,alive,200,no action
5018471,"Adhiban, B.",x,adhibanchess,https://x.com/adhibanchess,alive,200,no action
5018471,"Adhiban, B.",facebook,adhiban,,unchecked,returns HTTP 400 to all automated requests,cannot be tested from a server - left in place
5018471,"Adhiban, B.",instagram,adhibanchess,,unchecked,login wall answers 200 for missing profiles,cannot be tested from a server - left in place
35042025,Aditya Mittal,chesscom,vinniethepooh,https://www.chess.com/member/vinniethepooh,alive,200,no action
35042025,Aditya Mittal,chesscomPlayer,aditya-mittal,https://www.chess.com/players/aditya-mittal,alive,200,no action
35042025,Aditya Mittal,chessgames,155275,https://www.chessgames.com/perl/chessplayer?pid=155275,alive,200,no action
10601619,"Adly, Ahmed",chesscom,A-Adly,https://www.chess.com/member/A-Adly,alive,200,no action
10601619,"Adly, Ahmed",chesscomPlayer,ahmed-adly,https://www.chess.com/players/ahmed-adly,alive,200,no action
10601619,"Adly, Ahmed",chessgames,49127,https://www.chessgames.com/perl/chessplayer?pid=49127,alive,200,no action
10601619,"Adly, Ahmed",lichess,GMadly,https://lichess.org/@/GMadly,unknown,rate limited (HTTP 429),"rate-limited or server error - not judged, will be retried"
700096,"Adorján, András",chesscomPlayer,andras-adorjan,https://www.chess.com/players/andras-adorjan,alive,200,no action
700096,"Adorján, András",chessgames,14589,https://www.chessgames.com/perl/chessplayer?pid=14589,alive,200,no action
24183555,"Afanasiev, Nikita",chesscom,Rainmond,https://www.chess.com/member/Rainmond,alive,200,no action
