id,name,fed,sex,title,wtit,bday,gmYear,deceased,deathYear,revoked,revokedYear,revokedReason,birthCountry,birthCity,fedHistory,photo,photoSource,bio,bioSource,chesscom,chesscomPlayer,lichess,chessgames,website,x,instagram,youtube,twitch,facebook
24183555,"Afanasiev, Nikita",RUS,M,GM,,2000,2020,false,,false,,,RUS,,RUS,,,,,Rainmond,nikita-afanasiev,Hotprimus,141302,,,,,,
13401718,"Agaragimov, Djakhangir",AZE,M,GM,,1986,2014,false,,false,,,AZE,,AZE,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/%D0%94%D0%B6%D0%B0%D1%85%D0%B0%D0%BD%D0%B3%D0%B8%D1%80_%D0%90%D0%B3%D0%B0%D1%80%D0%B0%D0%B3%D0%B8%D0%BC%D0%BE%D0%B2_-_%D0%9A%D1%83%D0%B1%D0%BE%D0%BA_%D0%BC%D0%B8%D1%80%D0%B0._%D0%91%D0%B0%D0%BA%D1%83%2C_2015_%D0%B3%D0%BE%D0%B4.jpg/250px-%D0%94%D0%B6%D0%B0%D1%85%D0%B0%D0%BD%D0%B3%D0%B8%D1%80_%D0%90%D0%B3%D0%B0%D1%80%D0%B0%D0%B3%D0%B8%D0%BC%D0%BE%D0%B2_-_%D0%9A%D1%83%D0%B1%D0%BE%D0%BA_%D0%BC%D0%B8%D1%80%D0%B0._%D0%91%D0%B0%D0%BA%D1%83%2C_2015_%D0%B3%D0%BE%D0%B4.jpg,,,,,djakhangir-agaragimov,,80801,,,,,,
1500015,"Agdestein, Simen",NOR,M,GM,,1967,1985,false,,false,,,NOR,Asker,NOR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Simen_Agdestein_NM_Bergen_2009_%28cropped%29.jpg/250px-Simen_Agdestein_NM_Bergen_2009_%28cropped%29.jpg,,,,Grukjr,simen-agdestein,,14040,,,,,,
13400215,"Aghamaliyev, Cemil",TUR,M,GM,,1974,2002,false,,false,,,TUR,,AZE|TUR,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Agamaliev%2C_Gamil_rating.jpg/250px-Agamaliev%2C_Gamil_rating.jpg,,,,gmgamil,gamil-agamaliev,,98974,,,,,,
13302841,"Aghasaryan, Robert",ARM,M,GM,,1994,2014,false,,false,,,RUS,Saint Petersburg,ARM,,,,,GMChessrob,robert-aghasaryan,Dr_Chessrob,113373,,,,,,
13708309,"Agmanov, Zhandos",KAZ,M,GM,,2000,2026,false,,false,,,,,KAZ,,,"The following people have all been grandmasters (GM) of chess. The title has been awarded since 1950 to players who have met the standards required by the sport's governing body, FIDE. Other than world champion, it is the highest title a chess player can attain and is awarded for life, although FIDE regulations allow for the revocation of titles for cheating or fraud.",https://en.wikipedia.org/wiki/List_of_chess_grandmasters,,zhandos-agmanov,,154678,,,,,,
1705024,"Agrest, Evgenij",SWE,M,GM,,1966,1997,false,,false,,,BLR,Vitebsk,SWE,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Agrest_jewgenij_20081119_olympiade_dresden.jpg/250px-Agrest_jewgenij_20081119_olympiade_dresden.jpg,,,,etserga,evgeny-agrest,,18229,,,,,,
3508455,"Aguero Jimenez, Luis Lazaro",CUB,M,GM,,1991,2019,false,,false,,,CUB,Havana,CUB,,,Luis Lázaro Agüero Jiménez is a Cuban international chess Grandmaster titled in 2019.,https://en.wikipedia.org/wiki/Luis_L%C3%A1zaro_Ag%C3%BCero_Jim%C3%A9nez,,luis-lazaro-aguero-jimenez,,133278,,,,,,
W9427590,"Agzamov, Georgy",URS,M,GM,,1954,1984,true,1986,false,,,UZB,Almalyk,URS,,,,,,,,,,,,,,
8103178,"Ahmad, Al Khatib",JOR,M,GM,,1995,2023,false,,false,,,JOR,Madaba,JOR,,,,,ahmad_alkhatib11,al-khatib-ahmad,,128025,,,,,,
